country,year,category,count
Latvia,2020,Employment,2545
Latvia,2020,Family,1395
Latvia,2020,Other,381
Latvia,2021,Asylum/Protection,90
Latvia,2021,Education,1380
Latvia,2021,Employment,3685
Latvia,2021,Family,2146
Latvia,2021,Other,927
Latvia,2022,Asylum/Protection,230
Latvia,2022,Education,1985
Latvia,2022,Employment,3549
Latvia,2022,Family,2203
Latvia,2022,Other,1053
Latvia,2023,Asylum/Protection,120
Latvia,2023,Education,3243
Latvia,2023,Employment,3838
Latvia,2023,Family,2249
Latvia,2023,Other,863
Latvia,2024,Asylum/Protection,185
Latvia,2024,Education,2916
Latvia,2024,Employment,3558
Latvia,2024,Family,1677
Latvia,2024,Other,876
